video_no,frame,timestamp_ms,good,x0,y0,z0,visibility0,x1,y1,z1,visibility1,x2,y2,z2,visibility2,x3,y3,z3,visibility3,x4,y4,z4,visibility4,x5,y5,z5,visibility5,x6,y6,z6,visibility6,x7,y7,z7,visibility7,x8,y8,z8,visibility8,x9,y9,z9,visibility9,x10,y10,z10,visibility10,x11,y11,z11,visibility11,x12,y12,z12,visibility12,x13,y13,z13,visibility13,x14,y14,z14,visibility14,x15,y15,z15,visibility15,x16,y16,z16,visibility16,x17,y17,z17,visibility17,x18,y18,z18,visibility18,x19,y19,z19,visibility19,x20,y20,z20,visibility20,x21,y21,z21,visibility21,x22,y22,z22,visibility22,x23,y23,z23,visibility23,x24,y24,z24,visibility24,x25,y25,z25,visibility25,x26,y26,z26,visibility26,x27,y27,z27,visibility27,x28,y28,z28,visibility28,x29,y29,z29,visibility29,x30,y30,z30,visibility30,x31,y31,z31,visibility31,x32,y32,z32,visibility32
kick_cl_3 - Trim,1,33,good,0.4991692900657654,0.03295978903770447,-0.07937029004096985,0.9999966621398926,0.5052739381790161,0.016751229763031006,-0.0915476605296135,0.9999986886978149,0.5086270570755005,0.015784382820129395,-0.0915704146027565,0.9999985694885254,0.511961042881012,0.014753848314285278,-0.09161053597927094,0.9999984502792358,0.5012929439544678,0.0169219970703125,-0.05984211713075638,0.9999979734420776,0.5010607838630676,0.01659497618675232,-0.059814803302288055,0.9999970197677612,0.5003024339675903,0.016381919384002686,-0.059797149151563644,0.9999966621398926,0.527515709400177,0.018381088972091675,-0.08927717804908752,0.9999994039535522,0.5153987407684326,0.019389420747756958,0.048496346920728683,0.9999961853027344,0.5052840709686279,0.05028071999549866,-0.075645811855793,0.9999961853027344,0.5008222460746765,0.04956763982772827,-0.035898782312870026,0.9999932050704956,0.5426763296127319,0.1227182149887085,-0.16972146928310394,0.9999665021896362,0.5200868248939514,0.12795448303222656,0.1594371795654297,0.9998291730880737,0.4735463261604309,0.21117401123046875,-0.1902814656496048,0.9895345568656921,0.4693094491958618,0.20833125710487366,0.010180751793086529,0.6213624477386475,0.4627709984779358,0.13931146264076233,-0.034524641931056976,0.9678655862808228,0.47208917140960693,0.12252732366323471,-0.24400077760219574,0.7361266016960144,0.4578445255756378,0.11370187997817993,-0.04535646364092827,0.9390373826026917,0.4669080078601837,0.09412294626235962,-0.2763715386390686,0.7031158208847046,0.4670543372631073,0.10551151633262634,-0.050052013248205185,0.9366904497146606,0.4706489145755768,0.09216287732124329,-0.2684127688407898,0.6787878274917603,0.4682160019874573,0.12415405362844467,-0.030168866738677025,0.927067756652832,0.47853371500968933,0.10421288013458252,-0.25007325410842896,0.6577723026275635,0.547988772392273,0.41749757528305054,-0.10564736276865005,0.9999332427978516,0.5423184037208557,0.415468692779541,0.10577056556940079,0.999906063079834,0.5278326272964478,0.655072808265686,-0.10043050348758698,0.708454430103302,0.551571786403656,0.6255306005477905,0.14278244972229004,0.27943456172943115,0.5231034755706787,0.8614410161972046,-0.06595609337091446,0.8478166460990906,0.5986053943634033,0.8046166896820068,0.22217005491256714,0.3554367125034332,0.5365480184555054,0.8981788158416748,-0.06674495339393616,0.8993738889694214,0.610195517539978,0.8327698111534119,0.22690702974796295,0.4341426193714142,0.4758671224117279,0.8961222767829895,-0.1414659470319748,0.8860738277435303,0.5571433901786804,0.8519927859306335,0.17572952806949615,0.49128177762031555
kick_cl_3 - Trim,2,66,good,0.49947452545166016,0.03293205052614212,-0.029736122116446495,0.9999967217445374,0.5057523846626282,0.016459591686725616,-0.044838231056928635,0.9999986886978149,0.5090435147285461,0.015644123777747154,-0.04486826807260513,0.9999985694885254,0.5124075412750244,0.014733333140611649,-0.04489652067422867,0.9999984502792358,0.501790463924408,0.016394952312111855,-0.010747624561190605,0.9999980330467224,0.5015585422515869,0.01598169095814228,-0.0107500609010458,0.999997079372406,0.5010232329368591,0.015636030584573746,-0.010746274143457413,0.9999967813491821,0.5286774039268494,0.01857646368443966,-0.05918942391872406,0.9999993443489075,0.5161271691322327,0.019348669797182083,0.09016848355531693,0.9999963045120239,0.5054629445075989,0.04997760429978371,-0.031431861221790314,0.9999955892562866,0.5010287165641785,0.04931662976741791,0.011556467972695827,0.9999927878379822,0.5511389970779419,0.12016088515520096,-0.1433112472295761,0.999960720539093,0.5133753418922424,0.13085010647773743,0.18724918365478516,0.9998380541801453,0.4786791205406189,0.20390582084655762,-0.17801955342292786,0.9877275824546814,0.4637637734413147,0.20979930460453033,0.03820282965898514,0.6416534781455994,0.4628770649433136,0.12348531186580658,-0.0348234549164772,0.9653500914573669,0.46448004245758057,0.11689020693302155,-0.21661628782749176,0.7550743222236633,0.45434489846229553,0.08791594207286835,-0.04547405242919922,0.9364027976989746,0.4588839113712311,0.09028025716543198,-0.2489938884973526,0.7220966219902039,0.4623599648475647,0.08069361746311188,-0.049655068665742874,0.9339420199394226,0.462056964635849,0.08022202551364899,-0.2360953539609909,0.6990839838981628,0.4668880105018616,0.09913908690214157,-0.030301375314593315,0.9233611822128296,0.4705250859260559,0.09549733251333237,-0.22061055898666382,0.6781898736953735,0.548834502696991,0.41917771100997925,-0.10685691982507706,0.9999297261238098,0.535869300365448,0.4187173843383789,0.10690704733133316,0.9999068975448608,0.527811586856842,0.6525577306747437,-0.13435585796833038,0.7087309956550598,0.5520893931388855,0.6328218579292297,0.13582123816013336,0.28154700994491577,0.523116409778595,0.8627804517745972,-0.13449576497077942,0.8502599000930786,0.5980895757675171,0.8129478096961975,0.1797608584165573,0.3764828145503998,0.5353223085403442,0.8982123136520386,-0.13838015496730804,0.901614785194397,0.6109088659286499,0.8437134623527527,0.18182848393917084,0.4587481915950775,0.4766247868537903,0.8961125612258911,-0.21370448172092438,0.8888696432113647,0.5539548993110657,0.8612568974494934,0.13658644258975983,0.5099900364875793
kick_cl_3 - Trim,3,100,good,0.5000784397125244,0.03280920162796974,-0.0502382293343544,0.9999948740005493,0.506568193435669,0.015383101999759674,-0.08512791246175766,0.9999974370002747,0.5096226334571838,0.014747091569006443,-0.08518984168767929,0.9999974966049194,0.5128884315490723,0.014010637067258358,-0.08522126078605652,0.9999971985816956,0.5029052495956421,0.014871264807879925,-0.04268408566713333,0.999996542930603,0.5028257966041565,0.014165590517222881,-0.0427720807492733,0.9999952912330627,0.5027150511741638,0.013410672545433044,-0.042803503572940826,0.9999949932098389,0.5298492312431335,0.018023943528532982,-0.13362988829612732,0.9999984502792358,0.5191463232040405,0.016410864889621735,0.03912567347288132,0.9999935626983643,0.5059589743614197,0.04993462562561035,-0.07012702524662018,0.9999914765357971,0.5017930269241333,0.04924118146300316,-0.016137178987264633,0.9999881982803345,0.5518524646759033,0.11501029878854752,-0.21081887185573578,0.9999483823776245,0.5143774747848511,0.1272381693124771,0.17716272175312042,0.9998269081115723,0.4752658009529114,0.20265944302082062,-0.18235470354557037,0.9858598113059998,0.4638441801071167,0.20977704226970673,0.12586753070354462,0.6040962338447571,0.4614635407924652,0.10224071890115738,0.013536135666072369,0.9590603113174438,0.46137335896492004,0.11688747256994247,-0.035489361733198166,0.7228891849517822,0.44915488362312317,0.06530719250440598,0.011758345179259777,0.9305573105812073,0.45208433270454407,0.09669002890586853,-0.05213510990142822,0.6949524283409119,0.4591873586177826,0.06375835835933685,-0.0025459385942667723,0.9283757209777832,0.4585021734237671,0.07813366502523422,-0.05228160694241524,0.6747600436210632,0.4645949602127075,0.07567372918128967,0.015953944995999336,0.9158017635345459,0.4678589999675751,0.09542595595121384,-0.04274033382534981,0.6542689204216003,0.549029529094696,0.42185893654823303,-0.11211946606636047,0.9998885989189148,0.5357081890106201,0.4203472137451172,0.1121516227722168,0.9998801350593567,0.5286235213279724,0.6514250040054321,-0.12491607666015625,0.7239079475402832,0.5546712279319763,0.6384683847427368,0.14159318804740906,0.3095991909503937,0.5227227210998535,0.8624926209449768,-0.12426649779081345,0.8601918816566467,0.6004560589790344,0.81256103515625,0.18416282534599304,0.42043301463127136,0.5324748754501343,0.8968090415000916,-0.12288212031126022,0.9071885347366333,0.6212605834007263,0.8430497646331787,0.18736979365348816,0.5020056962966919,0.47315236926078796,0.896277129650116,-0.20704850554466248,0.8943276405334473,0.5633023381233215,0.8613998889923096,0.1600584089756012,0.5419316291809082
kick_cl_3 - Trim,4,133,good,0.5010702013969421,0.032741282135248184,-0.05472686141729355,0.999994158744812,0.5072670578956604,0.014515531249344349,-0.08232422173023224,0.9999967813491821,0.5100764036178589,0.013975560665130615,-0.08236386626958847,0.9999969601631165,0.5131493806838989,0.013372516259551048,-0.08236918598413467,0.999996542930603,0.5039151310920715,0.013806995004415512,-0.04152539744973183,0.9999958872795105,0.5039263367652893,0.012936134822666645,-0.04160114750266075,0.999994695186615,0.5040424466133118,0.01197060476988554,-0.041609760373830795,0.9999943971633911,0.5304178595542908,0.01795903593301773,-0.12187054008245468,0.9999979138374329,0.5194740295410156,0.016257349401712418,0.041009750217199326,0.999991774559021,0.5067044496536255,0.049899809062480927,-0.06887295842170715,0.9999885559082031,0.5028260946273804,0.049235377460718155,-0.01747291348874569,0.9999844431877136,0.5543966889381409,0.11218064278364182,-0.20861934125423431,0.9999369978904724,0.514530599117279,0.1311711072921753,0.17465902864933014,0.9998138546943665,0.47485119104385376,0.2012176364660263,-0.18660859763622284,0.9852572083473206,0.4626765251159668,0.21074122190475464,0.09838036447763443,0.5904902219772339,0.4614783525466919,0.10807199776172638,0.017693908885121346,0.9567319750785828,0.4613407850265503,0.12364461272954941,-0.22989541292190552,0.7227385640144348,0.44855546951293945,0.07413111627101898,0.018414800986647606,0.9281816482543945,0.4509165585041046,0.10734248906373978,-0.2614869773387909,0.695192277431488,0.45895108580589294,0.07069729268550873,0.009084569290280342,0.9259380102157593,0.4598971903324127,0.08614952117204666,-0.25246068835258484,0.6767394542694092,0.46527156233787537,0.08564405143260956,0.02299516089260578,0.9122745990753174,0.46644553542137146,0.09556268155574799,-0.23679852485656738,0.6554783582687378,0.5503473281860352,0.4276098310947418,-0.11519470810890198,0.9998489618301392,0.5351334810256958,0.42904314398765564,0.11510063707828522,0.9998555183410645,0.5311540961265564,0.6521941423416138,-0.1254976987838745,0.7429002523422241,0.5548959970474243,0.6439049243927002,0.1416892111301422,0.3405209183692932,0.5233266353607178,0.862532377243042,-0.10877018421888351,0.8706866502761841,0.6011306643486023,0.8265823125839233,0.1893666386604309,0.4636451005935669,0.5342385172843933,0.8968643546104431,-0.11049745976924896,0.9125823974609375,0.6214737296104431,0.8433122634887695,0.1923258751630783,0.5429292917251587,0.4732498526573181,0.8964996337890625,-0.19065186381340027,0.9002664089202881,0.5631202459335327,0.8634896278381348,0.16191761195659637,0.5737206339836121
kick_cl_3 - Trim,5,166,good,0.5021421313285828,0.03272280842065811,-0.05866358056664467,0.999993622303009,0.5088094472885132,0.014183172024786472,-0.08369849622249603,0.9999963641166687,0.5115525722503662,0.013732252642512321,-0.08374042809009552,0.9999966025352478,0.5146976113319397,0.013187763281166553,-0.08374357968568802,0.9999961256980896,0.5051668286323547,0.013343575410544872,-0.04336296766996384,0.9999954700469971,0.5051224231719971,0.012434092350304127,-0.04340174049139023,0.9999942779541016,0.5052490234375,0.011405067518353462,-0.04340934008359909,0.9999940395355225,0.531968355178833,0.01781317964196205,-0.12843090295791626,0.9999975562095642,0.5206603407859802,0.015753192827105522,0.03980632871389389,0.9999905824661255,0.5076569318771362,0.049898661673069,-0.07016268372535706,0.9999863505363464,0.5036030411720276,0.04925018176436424,-0.019562978297472,0.9999818801879883,0.5539683103561401,0.10995365679264069,-0.21496237814426422,0.9999260306358337,0.5172697901725769,0.13009753823280334,0.17290140688419342,0.9998061656951904,0.4709019958972931,0.20154188573360443,-0.17010441422462463,0.983521580696106,0.46302250027656555,0.21173657476902008,0.09756224602460861,0.5589591860771179,0.46142756938934326,0.11125681549310684,0.08541322499513626,0.9481610059738159,0.46272528171539307,0.13091972470283508,-0.11220931261777878,0.6991681456565857,0.4490439295768738,0.07853835076093674,0.09248355776071548,0.9193066954612732,0.45626404881477356,0.12310401350259781,-0.1321568340063095,0.6758124232292175,0.45902544260025024,0.07340919971466064,0.07791437208652496,0.9172618985176086,0.4657086730003357,0.10009228438138962,-0.12641572952270508,0.6595053672790527,0.46591660380363464,0.08921290934085846,0.0896676555275917,0.9024437665939331,0.4674282968044281,0.10213784128427505,-0.11759962886571884,0.6374610662460327,0.5503320693969727,0.42813459038734436,-0.1176430732011795,0.9998262524604797,0.5354184508323669,0.4288497567176819,0.11755077540874481,0.9998405575752258,0.5311793088912964,0.6521238088607788,-0.12607505917549133,0.7631812691688538,0.5552298426628113,0.6429858207702637,0.1558229923248291,0.3793560564517975,0.523338794708252,0.8622955083847046,-0.11037018150091171,0.881564199924469,0.6010885834693909,0.8296129107475281,0.20605023205280304,0.5075733065605164,0.5348060131072998,0.8987745046615601,-0.11249862611293793,0.9194152355194092,0.6203749179840088,0.8427473306655884,0.2095962017774582,0.5823538899421692,0.47018322348594666,0.8975770473480225,-0.18598482012748718,0.9070045351982117,0.5653917789459229,0.8630911111831665,0.1915905773639679,0.6051391363143921
kick_cl_3 - Trim,6,200,good,0.5025964975357056,0.03200216218829155,-0.06535742431879044,0.9999929666519165,0.5090203881263733,0.01316221896559,-0.08977080881595612,0.9999958276748657,0.5117547512054443,0.012891286052763462,-0.08980870246887207,0.9999961256980896,0.5148428678512573,0.012548294849693775,-0.08980666100978851,0.9999955892562866,0.5053164958953857,0.012113040313124657,-0.04932861402630806,0.9999949336051941,0.5052469968795776,0.011190558783710003,-0.049411553889513016,0.9999936819076538,0.5053364634513855,0.010124791413545609,-0.04941423609852791,0.9999934434890747,0.5325742959976196,0.017748987302184105,-0.12437115609645844,0.999997079372406,0.5205486416816711,0.015417030081152916,0.04095412418246269,0.999988853931427,0.5082039833068848,0.049569688737392426,-0.07537667453289032,0.9999837279319763,0.504065752029419,0.04905664175748825,-0.024768151342868805,0.999978244304657,0.5558793544769287,0.1082916259765625,-0.2100142538547516,0.9999089241027832,0.5165897607803345,0.13067562878131866,0.17184732854366302,0.9997855424880981,0.4728429615497589,0.20173919200897217,-0.18319803476333618,0.9827633500099182,0.4627458155155182,0.21361932158470154,0.039042361080646515,0.5473186373710632,0.46159639954566956,0.11126770079135895,0.04261235147714615,0.9450510144233704,0.4627821147441864,0.13173025846481323,-0.27080580592155457,0.6980096101760864,0.44940146803855896,0.0758550688624382,0.03892853483557701,0.9156769514083862,0.45307457447052,0.11947912722826004,-0.3048225939273834,0.6752184629440308,0.45941469073295593,0.07460614293813705,0.02887689135968685,0.9135450124740601,0.4627018868923187,0.09928636997938156,-0.29569491744041443,0.6604227423667908,0.4661620557308197,0.09079639613628387,0.04568758234381676,0.8976961970329285,0.4654054641723633,0.1029471829533577,-0.27783745527267456,0.6377801895141602,0.551299512386322,0.42821475863456726,-0.11789966374635696,0.9997836947441101,0.5347127318382263,0.42998257279396057,0.11778099834918976,0.9998152852058411,0.5314663052558899,0.6520287990570068,-0.12444925308227539,0.7801873683929443,0.5556685328483582,0.6423206329345703,0.15091416239738464,0.4111591875553131,0.5235071182250977,0.8614922761917114,-0.10228589922189713,0.890670657157898,0.6011801362037659,0.8310134410858154,0.19467245042324066,0.5455127954483032,0.5359631180763245,0.8986883163452148,-0.1041923239827156,0.924645721912384,0.6231380701065063,0.8423045873641968,0.19738292694091797,0.6171496510505676,0.47043758630752563,0.8980390429496765,-0.18137936294078827,0.9121816754341125,0.5656314492225647,0.863227903842926,0.16895636916160583,0.6319960951805115
kick_cl_3 - Trim,7,233,good,0.503490149974823,0.030372099950909615,-0.07750672847032547,0.999990701675415,0.5106620192527771,0.010646648705005646,-0.1005767285823822,0.9999942183494568,0.5137887597084045,0.010660634376108646,-0.10062624514102936,0.9999945759773254,0.5172598958015442,0.010653192177414894,-0.10064470767974854,0.9999938607215881,0.5062234401702881,0.00907376129180193,-0.061683472245931625,0.9999933838844299,0.5059553384780884,0.008090555667877197,-0.06177172809839249,0.9999918341636658,0.5058645009994507,0.007009658496826887,-0.061774592846632004,0.999991774559021,0.5352315306663513,0.016775112599134445,-0.12772132456302643,0.9999958872795105,0.5217154622077942,0.012937631458044052,0.03735622018575668,0.9999851584434509,0.5093481540679932,0.04841393604874611,-0.08338168263435364,0.9999769926071167,0.5046995878219604,0.04800061509013176,-0.0343681164085865,0.9999711513519287,0.5562011003494263,0.10702972859144211,-0.21031931042671204,0.999878466129303,0.5175415277481079,0.12719613313674927,0.17141300439834595,0.9997657537460327,0.47285357117652893,0.20048949122428894,-0.1756720244884491,0.9793717861175537,0.46346744894981384,0.21358895301818848,0.05420176312327385,0.5277479887008667,0.4649915099143982,0.11149147152900696,0.06407932937145233,0.9286993145942688,0.4648115336894989,0.13282237946987152,-0.21936723589897156,0.6873722672462463,0.45070159435272217,0.0821019858121872,0.06843959540128708,0.898533046245575,0.46275827288627625,0.12523068487644196,-0.24715350568294525,0.6676881313323975,0.4618675410747528,0.08523533493280411,0.05583689734339714,0.8963857889175415,0.4685072898864746,0.10336884111166,-0.24085067212581635,0.6544052362442017,0.46708840131759644,0.09160934388637543,0.06848128139972687,0.8794703483581543,0.47285357117652893,0.10523092746734619,-0.2262701541185379,0.6312853097915649,0.5512586832046509,0.43103960156440735,-0.11844896525144577,0.9997425079345703,0.5348532199859619,0.43088918924331665,0.11833100765943527,0.999789834022522,0.5311760306358337,0.6528170704841614,-0.12422282993793488,0.7897236943244934,0.5556488037109375,0.643220067024231,0.15123802423477173,0.42602813243865967,0.5242630243301392,0.8618576526641846,-0.09701690822839737,0.8967587351799011,0.6011521220207214,0.8276748657226562,0.1962946355342865,0.5710458755493164,0.5378543138504028,0.8987080454826355,-0.0983094722032547,0.9281221628189087,0.619525134563446,0.8421787619590759,0.1992114931344986,0.6443731188774109,0.47112739086151123,0.8987034559249878,-0.17919589579105377,0.9147340059280396,0.5655186176300049,0.873748242855072,0.17409522831439972,0.649878978729248
kick_cl_3 - Trim,8,266,good,0.5039236545562744,0.03009340539574623,-0.07077230513095856,0.9999904632568359,0.5107282400131226,0.010494658723473549,-0.09682156890630722,0.9999940395355225,0.5137636065483093,0.01052298303693533,-0.096866674721241,0.9999944567680359,0.517144501209259,0.010541188530623913,-0.09686773270368576,0.9999937415122986,0.5065289735794067,0.008948004804551601,-0.05580279976129532,0.9999931454658508,0.5063458681106567,0.007968840189278126,-0.05589078366756439,0.9999916553497314,0.5063468813896179,0.006888368166983128,-0.05588064342737198,0.9999915957450867,0.535032331943512,0.016774341464042664,-0.12774889171123505,0.999995768070221,0.5217624306678772,0.012985026463866234,0.03847725689411163,0.9999843239784241,0.5095629692077637,0.048189811408519745,-0.0819634273648262,0.9999760389328003,0.5051494240760803,0.04782869294285774,-0.03072637878358364,0.9999693632125854,0.5565375685691833,0.10646900534629822,-0.21874205768108368,0.999877393245697,0.5175599455833435,0.1272727996110916,0.17140665650367737,0.9997611045837402,0.4728222191333771,0.20044997334480286,-0.18757183849811554,0.9794021248817444,0.46400824189186096,0.21523632109165192,0.05783175677061081,0.5073673725128174,0.4639893174171448,0.10765525698661804,0.04788396507501602,0.9283102750778198,0.46499204635620117,0.13286136090755463,-0.19987602531909943,0.6783229112625122,0.44835999608039856,0.07491498440504074,0.052043162286281586,0.8981112837791443,0.45761165022850037,0.12292269617319107,-0.22604015469551086,0.6604277491569519,0.45981714129447937,0.07812056690454483,0.042156897485256195,0.8958710432052612,0.46578216552734375,0.10302162170410156,-0.21678687632083893,0.6485491394996643,0.4649134576320648,0.0851668193936348,0.053643956780433655,0.8781968355178833,0.47286075353622437,0.104668028652668,-0.20566153526306152,0.6245971918106079,0.5517598390579224,0.43080586194992065,-0.11958612501621246,0.9997344613075256,0.5345391631126404,0.43124157190322876,0.11944957077503204,0.9997836947441101,0.5362091064453125,0.6494508981704712,-0.12682895362377167,0.8050999045372009,0.5591424703598022,0.6429482698440552,0.1509881317615509,0.45672670006752014,0.5255087018013,0.8612642288208008,-0.10560862720012665,0.9050230383872986,0.6066232323646545,0.8239878416061401,0.19680193066596985,0.6050485372543335,0.539140522480011,0.9000565409660339,-0.10786227881908417,0.9327014684677124,0.6239193081855774,0.8425120711326599,0.19975553452968597,0.6741722226142883,0.4717614948749542,0.8987356424331665,-0.18478740751743317,0.9199864864349365,0.5701481699943542,0.8729755282402039,0.17474216222763062,0.674950122833252
kick_cl_3 - Trim,9,300,good,0.5046535134315491,0.029663728550076485,-0.08489104360342026,0.99998939037323,0.5117426514625549,0.009964235126972198,-0.10797849297523499,0.9999933242797852,0.5148459672927856,0.010018550790846348,-0.10802754014730453,0.9999938607215881,0.5183680057525635,0.0100471843034029,-0.10804065316915512,0.9999930262565613,0.5073569416999817,0.008415780030190945,-0.06893091648817062,0.9999923706054688,0.507106363773346,0.007454548962414265,-0.06901126354932785,0.9999907612800598,0.5070486664772034,0.0063981250859797,-0.06900771707296371,0.999990701675415,0.5364450812339783,0.016360068693757057,-0.1348835825920105,0.999995231628418,0.5227689146995544,0.01236302312463522,0.03161235526204109,0.9999822378158569,0.5103231072425842,0.04785003140568733,-0.0910150483250618,0.9999731183052063,0.5056275725364685,0.04749895632266998,-0.04212095960974693,0.9999657273292542,0.5570652484893799,0.10669644922018051,-0.2193787693977356,0.9998603463172913,0.5175861120223999,0.12709298729896545,0.1710887998342514,0.9997405409812927,0.47263434529304504,0.20026175677776337,-0.19118651747703552,0.9785694479942322,0.46417781710624695,0.21539102494716644,0.07475560158491135,0.48938921093940735,0.46363598108291626,0.10616903752088547,0.03770877793431282,0.9245641231536865,0.46483489871025085,0.13107416033744812,-0.16606813669204712,0.6699938178062439,0.44863536953926086,0.07493691146373749,0.03940143808722496,0.894027590751648,0.4564151465892792,0.12176677584648132,-0.19132719933986664,0.6546391248703003,0.4600108861923218,0.07788389921188354,0.029724011197686195,0.8917988538742065,0.4678550064563751,0.1027669906616211,-0.184712216258049,0.6441226601600647,0.465018093585968,0.08518492430448532,0.04302171245217323,0.8730230331420898,0.47285738587379456,0.10454495996236801,-0.1722903847694397,0.6197462677955627,0.551725447177887,0.430982768535614,-0.12035881727933884,0.9997105002403259,0.5337612628936768,0.43092045187950134,0.12023000419139862,0.9997684359550476,0.5346423387527466,0.6495877504348755,-0.12490154057741165,0.8178866505622864,0.5579687356948853,0.642937183380127,0.15089695155620575,0.4843394458293915,0.5255059599876404,0.860722005367279,-0.10037855058908463,0.9123567342758179,0.6053927540779114,0.8282475471496582,0.19819363951683044,0.6354265809059143,0.5394523739814758,0.9000541567802429,-0.10166630893945694,0.9372171759605408,0.619537353515625,0.8421257734298706,0.20124390721321106,0.7010875940322876,0.4707910716533661,0.8987997174263,-0.18366186320781708,0.9247446656227112,0.5691680312156677,0.8722813129425049,0.17161975800991058,0.6970465183258057
kick_cl_3 - Trim,10,333,good,0.5054242610931396,0.029657525941729546,-0.08343078196048737,0.9999893307685852,0.5125964283943176,0.009915219619870186,-0.10774145275354385,0.9999932050704956,0.5155724287033081,0.009987685829401016,-0.10777647793292999,0.9999937415122986,0.5190208554267883,0.010030264966189861,-0.10775261372327805,0.9999929070472717,0.5083299279212952,0.008324994705617428,-0.06682800501585007,0.9999922513961792,0.5080949068069458,0.0073397355154156685,-0.06693356484174728,0.9999906420707703,0.5080289244651794,0.006264995317906141,-0.06693235784769058,0.9999906420707703,0.5368651151657104,0.016588956117630005,-0.13038234412670135,0.9999950528144836,0.5229306817054749,0.012387695722281933,0.03286753222346306,0.9999815821647644,0.5108713507652283,0.047857385128736496,-0.08975020051002502,0.9999721050262451,0.50616055727005,0.047503065317869186,-0.04107664152979851,0.9999642372131348,0.5577150583267212,0.10668107122182846,-0.21498225629329681,0.9998564124107361,0.5169215798377991,0.13121917843818665,0.17127496004104614,0.9997314810752869,0.47258779406547546,0.1996060311794281,-0.2002071589231491,0.978854238986969,0.4630366861820221,0.21574194729328156,0.037730541080236435,0.48245611786842346,0.46297070384025574,0.10422413051128387,0.007850253954529762,0.9253851175308228,0.4635774791240692,0.13157376646995544,-0.26609566807746887,0.6721493601799011,0.44792139530181885,0.07100123912096024,0.007393541745841503,0.894892692565918,0.4523211419582367,0.1202101781964302,-0.3009495437145233,0.6561260223388672,0.4591723084449768,0.07271905988454819,-0.0006284233531914651,0.8925410509109497,0.46309220790863037,0.1023487076163292,-0.2911054491996765,0.6465320587158203,0.4650684595108032,0.08156763762235641,0.013598309829831123,0.8730623722076416,0.46743637323379517,0.10561248660087585,-0.27298644185066223,0.6216895580291748,0.55288165807724,0.4300684928894043,-0.12010056525468826,0.9997069239616394,0.5335198044776917,0.43067583441734314,0.11997239291667938,0.9997652173042297,0.5362976789474487,0.6456576585769653,-0.13883434236049652,0.830675482749939,0.5602200031280518,0.6428914666175842,0.1507989764213562,0.5060765743255615,0.526055634021759,0.8602004051208496,-0.12564580142498016,0.919468104839325,0.6068723797798157,0.8246057033538818,0.19556716084480286,0.6635687947273254,0.539490818977356,0.9001246690750122,-0.12921425700187683,0.9411557912826538,0.6254030466079712,0.8428513407707214,0.19824029505252838,0.725502610206604,0.47087252140045166,0.8987997174263,-0.21153518557548523,0.93000727891922,0.5700193643569946,0.8715566396713257,0.1697392612695694,0.7190947532653809
